id,offer_id,ctr_score,quality_score,reputation_score,relevance_score,total_score,calculated_at
fbe1ff5d-b888-4337-8bc6-19681bbe280f,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,7.0,9,10,0,8.450,2026-07-25 14:00:00.220546+00
dc9ca5e8-2310-48b9-835a-999a8f98d156,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,7.0,9,10,0,8.450,2026-07-28 01:00:00.264286+00
e6212f63-6896-4aa5-9dbd-319a5c0964cf,fabee082-6ae6-4254-a264-30ca77bc94ab,7.0,10,8,0,8.300,2026-07-28 01:00:00.264286+00
1712df13-a13a-41fb-af71-1051310e73d3,3ae65d23-d087-4503-977d-a430f9672775,7.0,10,10,0,8.800,2026-07-28 01:00:00.264286+00
f4cf8858-17e4-4ba0-bff0-6e97b4f2e1e4,98f2a592-62df-4e51-87c3-2174dbdd883e,7.0,9,10,0,8.450,2026-07-28 01:00:00.264286+00
69d85934-9448-44ec-b10e-e31afb830672,3ae65d23-d087-4503-977d-a430f9672775,7.0,10,10,0,8.800,2026-07-28 11:00:00.237076+00
703f5a12-2db9-4621-9055-8af7fd8da8a7,98f2a592-62df-4e51-87c3-2174dbdd883e,7.0,9,10,0,8.450,2026-07-28 11:00:00.237076+00
852b15ad-6882-4498-bbc2-00ae3ae34b66,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,7.0,9,10,0,8.450,2026-07-28 11:00:00.237076+00
7372cb3a-c61d-49c1-91dc-411e9123450b,fabee082-6ae6-4254-a264-30ca77bc94ab,7.0,10,8,0,8.300,2026-07-28 11:00:00.237076+00
46ccf657-fd59-40f8-a63e-ab46d8c1fa68,98f2a592-62df-4e51-87c3-2174dbdd883e,7.0,9,10,0,8.450,2026-07-28 21:00:00.241311+00
0f342e52-5a7d-4afe-820f-737a20d05434,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,7.0,9,10,0,8.450,2026-07-28 21:00:00.241311+00
c5d10766-71b1-4bc4-b982-7787e1117458,fabee082-6ae6-4254-a264-30ca77bc94ab,7.0,10,8,0,8.300,2026-07-28 21:00:00.241311+00
06d5f970-7556-4e3c-a1e6-530b35db69f7,3ae65d23-d087-4503-977d-a430f9672775,7.0,10,10,0,8.800,2026-07-28 21:00:00.241311+00
05b8f791-113e-4115-a061-d962307abef9,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,7.0,9,10,0,8.450,2026-07-22 01:00:00.246491+00
057e08fe-90e3-4e59-b8c7-38b9e3657287,fabee082-6ae6-4254-a264-30ca77bc94ab,7.0,10,8,0,8.300,2026-07-22 01:00:00.246491+00
d2ff01fb-93fe-4258-9c7e-ba0aac4b3b6a,3ae65d23-d087-4503-977d-a430f9672775,7.0,10,10,0,8.800,2026-07-22 01:00:00.246491+00
dbf6ff73-3740-4ce9-8c77-f7c41c44f093,3ae65d23-d087-4503-977d-a430f9672775,7.0,10,10,0,8.800,2026-07-22 11:00:00.234965+00
2a4bc3e6-e72d-4e1a-9686-ce5197044b7a,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,7.0,9,10,0,8.450,2026-07-22 11:00:00.234965+00
3a69e94b-422a-4cd7-acdd-35adee646b1b,fabee082-6ae6-4254-a264-30ca77bc94ab,7.0,10,8,0,8.300,2026-07-22 11:00:00.234965+00
