id,user_id,amount,type,description,offer_id,created_at,coupon_id,invoice_id,status
e24ab6bb-12ff-4264-9870-acbcde54c814,c5b70e56-0957-4692-9222-847d1d109820,5000,DEPOSIT,Ajuste manual via MCP: Saldo para teste interno do fluxo de resgate pay-per-resgate,,2026-07-22 18:45:09.846959+00,,,RELEASED
b20cb2cb-e0dc-422f-b251-df7627af12b1,c5b70e56-0957-4692-9222-847d1d109820,100,DEPOSIT,Bônus de onboarding: first_lead,,2026-07-22 18:59:39.875145+00,,,RELEASED
38eb091e-4282-4d4f-b968-8e9489cc851a,813349ad-c7b9-4798-a38d-0749feddb9b2,-800,REDEMPTION_COST,Resgate cupom NK298FAC,98f2a592-62df-4e51-87c3-2174dbdd883e,2026-07-22 19:21:14.050378+00,,,RELEASED
3635265a-87e3-4669-ae9c-c994310859e3,813349ad-c7b9-4798-a38d-0749feddb9b2,100,DEPOSIT,Bônus de onboarding: tour_completed,,2025-12-13 19:21:37.911525+00,,,RELEASED
235316ce-d5dc-4cac-897f-cf33f5361ac7,813349ad-c7b9-4798-a38d-0749feddb9b2,100,DEPOSIT,Bônus de onboarding: first_offer,,2025-12-13 19:25:16.208631+00,,,RELEASED
b4aefcb9-babc-4bc9-b8e1-3b068173cffb,813349ad-c7b9-4798-a38d-0749feddb9b2,-227,LEAD_COST,Lead: Rodrigo - Teste 1 ,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,2025-12-13 19:29:50.144095+00,,,RELEASED
f4571050-7824-4ed1-a532-669b4e0e8d92,b683ecab-1d2c-4a00-b1fc-c4ae5f7a7d0a,68,LEAD_EARNING,Comissão lead: Teste 1 ,c6d5f839-9d64-4d81-9225-2e0c2d6700ef,2025-12-13 19:29:50.903998+00,,,RELEASED
a55f589c-12e1-482c-8575-e7cc8c6f886a,b683ecab-1d2c-4a00-b1fc-c4ae5f7a7d0a,100,DEPOSIT,Bônus de onboarding: tour_completed,,2025-12-13 19:30:33.748065+00,,,RELEASED
b3f19444-5626-4e94-b901-fb33d2cb4124,813349ad-c7b9-4798-a38d-0749feddb9b2,100,DEPOSIT,Bônus de onboarding: instagram_connected,,2025-12-13 19:49:06.97443+00,,,RELEASED
c5205125-8af1-4fd9-98ab-803f1170ee61,813349ad-c7b9-4798-a38d-0749feddb9b2,100,DEPOSIT,Bônus de onboarding: logo_added,,2025-12-13 22:55:18.723957+00,,,RELEASED
